GFN,FWE,FIA,FWI,USAGE,LANGUAGES
Catamaran:normal:700,4,1,3,body,latin+latin-ext+tamil
Catamaran:normal:800,4,1,3,body,latin+latin-ext+tamil
Catamaran:normal:900,5,1,4,body,latin+latin-ext+tamil
Caudex:italic:400,2,5,4,header,greek+greek-ext+latin+latin-ext
Caudex:italic:700,3,5,4,header,greek+greek-ext+latin+latin-ext
Caudex:normal:400,2,1,4,body,greek+greek-ext+latin+latin-ext
Caudex:normal:700,3,1,4,header,greek+greek-ext+latin+latin-ext
Caveat Brush:normal:400,4,1,3,header,latin+latin-ext
Caveat:normal:400,2,6,4,body,cyrillic+latin+latin-ext
Caveat:normal:700,4,6,4,body,cyrillic+latin+latin-ext
Cedarville Cursive:normal:400,2,6,4,header,latin
Ceviche One:normal:400,5,5,3,header,latin+latin-ext
Changa One:italic:400,6,4,3,header,latin
Changa One:normal:400,6,1,3,header,latin
Changa:normal:200,2,1,3,header,arabic+latin+latin-ext
Changa:normal:300,3,1,3,header,arabic+latin+latin-ext
Changa:normal:400,3,1,3,header,arabic+latin+latin-ext
Changa:normal:500,4,1,3,header,arabic+latin+latin-ext
Changa:normal:600,5,1,3,header,arabic+latin+latin-ext
Changa:normal:700,5,1,3,header,arabic+latin+latin-ext
Changa:normal:800,6,1,3,header,arabic+latin+latin-ext
Chango:normal:400,6,1,5,header,latin+latin-ext
Chathura:normal:100,1,1,3,?,latin+telugu
Chathura:normal:300,2,1,3,?,latin+telugu
Chathura:normal:400,2,1,3,?,latin+telugu
Chathura:normal:700,3,1,3,?,latin+telugu
Chathura:normal:800,4,1,3,?,latin+telugu
Chau Philomene One:italic:400,5,3,3,header,latin+latin-ext
Chau Philomene One:normal:400,5,1,3,header,latin+latin-ext
Chela One:normal:400,6,1,3,header,latin+latin-ext
Chelsea Market:normal:400,4,1,3,body,latin+latin-ext
Chenla:normal:400,2,1,1,?,khmer
Cherry Cream Soda:normal:400,4,1,5,header,latin
Cherry Swash:normal:400,3,1,4,body,latin+latin-ext
Cherry Swash:normal:700,4,1,4,header,latin+latin-ext
Chewy:normal:400,5,1,3,body,latin
Chicle:normal:400,5,1,2,header,latin+latin-ext
Chivo:italic:300,2,4,3,?,latin+latin-ext
Chivo:italic:400,3,3,3,header,latin+latin-ext
Chivo:italic:700,5,4,4,?,latin+latin-ext
Chivo:italic:900,6,3,4,header,latin+latin-ext
Chivo:normal:300,2,1,3,?,latin+latin-ext
Chivo:normal:400,3,1,3,header,latin+latin-ext
Chivo:normal:700,5,1,4,?,latin+latin-ext
Chivo:normal:900,6,1,4,header,latin+latin-ext
Chonburi:normal:400,4,1,5,?,latin+latin-ext+thai+vietnamese
Cinzel Decorative:normal:400,2,1,3,header,latin
Cinzel Decorative:normal:700,3,1,3,header,latin
Cinzel Decorative:normal:900,3,1,3,header,latin
Cinzel:normal:400,2,1,3,header,latin+latin-ext
Cinzel:normal:700,3,1,3,header,latin+latin-ext
Cinzel:normal:900,4,1,4,header,latin+latin-ext
Clicker Script:normal:400,1,2,5,header,latin+latin-ext
Coda Caption:normal:800,5,1,4,header,latin+latin-ext
Coda:normal:400,3,1,3,body,latin+latin-ext
Coda:normal:800,6,1,3,header,latin+latin-ext
Codystar:normal:300,1,1,3,header,latin+latin-ext
Codystar:normal:400,1,1,3,header,latin+latin-ext
Coiny:normal:400,5,1,4,?,latin+latin-ext+tamil+vietnamese
Combo:normal:400,3,1,3,header,latin+latin-ext
Comfortaa:normal:300,2,1,4,header,cyrillic+cyrillic-ext+greek+latin+latin-ext+vietnamese
Comfortaa:normal:400,3,1,4,body,cyrillic+cyrillic-ext+greek+latin+latin-ext+vietnamese
Comfortaa:normal:700,3,1,4,body,cyrillic+cyrillic-ext+greek+latin+latin-ext+vietnamese
Coming Soon:normal:400,2,1,3,header,latin
Concert One:normal:400,5,1,3,header,latin+latin-ext
Condiment:normal:400,3,10,3,header,latin+latin-ext
Content:normal:400,2,1,1,?,khmer
Content:normal:700,3,1,1,?,khmer
Contrail One:normal:400,4,3,2,header,latin
Convergence:normal:400,3,1,3,body,latin
Cookie:normal:400,3,1,3,header,latin
Copse:normal:400,3,1,4,header,latin
Corben:normal:400,3,1,4,?,latin+latin-ext
Corben:normal:700,5,1,4,?,latin+latin-ext
Cormorant Garamond:italic:300,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:italic:400,2,5,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:italic:500,2,5,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:italic:600,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:italic:700,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:normal:300,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:normal:400,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:normal:500,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:normal:600,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Garamond:normal:700,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:italic:300,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:italic:400,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:italic:500,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:italic:600,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:italic:700,2,5,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:normal:300,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:normal:400,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:normal:500,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:normal:600,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Infant:normal:700,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant SC:normal:300,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant SC:normal:400,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant SC:normal:500,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant SC:normal:600,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant SC:normal:700,3,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Unicase:normal:300,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Unicase:normal:400,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Unicase:normal:500,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Unicase:normal:600,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Unicase:normal:700,3,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant Upright:normal:300,2,1,4,?,latin+latin-ext+vietnamese
Cormorant Upright:normal:400,2,1,4,?,latin+latin-ext+vietnamese
Cormorant Upright:normal:500,2,1,4,?,latin+latin-ext+vietnamese
Cormorant Upright:normal:600,2,1,4,?,latin+latin-ext+vietnamese
Cormorant Upright:normal:700,3,1,4,?,latin+latin-ext+vietnamese
Cormorant:italic:300,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:italic:400,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:italic:500,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:italic:600,2,5,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:italic:700,2,4,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:normal:300,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:normal:400,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:normal:500,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:normal:600,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cormorant:normal:700,2,1,4,?,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Courgette:normal:400,3,6,3,header,latin+latin-ext
Cousine:italic:400,3,4,4,header,cyrillic+cyrillic-ext+greek+greek-ext+hebrew+latin+latin-ext+vietnamese
Cousine:italic:700,4,4,4,header,cyrillic+cyrillic-ext+greek+greek-ext+hebrew+latin+latin-ext+vietnamese
Cousine:normal:400,3,1,4,header,cyrillic+cyrillic-ext+greek+greek-ext+hebrew+latin+latin-ext+vietnamese
Cousine:normal:700,4,1,4,header,cyrillic+cyrillic-ext+greek+greek-ext+hebrew+latin+latin-ext+vietnamese
Coustard:normal:400,4,1,3,header,latin
Coustard:normal:900,6,1,5,header,latin
Covered By Your Grace:normal:400,3,1,2,header,latin
Crafty Girls:normal:400,2,1,3,header,latin
Creepster:normal:400,7,1,1,header,latin
Crete Round:italic:400,3,4,3,header,latin+latin-ext
Crete Round:normal:400,4,1,4,body,latin+latin-ext
Crimson Text:italic:400,3,4,3,header,latin
Crimson Text:italic:600,3,4,3,header,latin
Crimson Text:italic:700,4,4,3,header,latin
Crimson Text:normal:400,3,1,4,body,latin
Crimson Text:normal:600,3,1,4,header,latin
Crimson Text:normal:700,4,1,4,header,latin
Croissant One:normal:400,4,1,4,body,latin+latin-ext
Crushed:normal:400,4,1,2,header,latin
Cuprum:italic:400,4,4,3,header,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cuprum:italic:700,4,4,3,header,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cuprum:normal:400,3,1,3,body,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cuprum:normal:700,4,1,3,header,cyrillic+cyrillic-ext+latin+latin-ext+vietnamese
Cute Font:normal:400,3,1,3,?,korean+latin
Cutive Mono:normal:400,2,1,5,header,latin+latin-ext
Cutive:normal:400,3,1,4,header,latin+latin-ext
Damion:normal:400,3,8,4,header,latin
Dancing Script:normal:400,2,7,4,header,latin+latin-ext+vietnamese
Dancing Script:normal:700,3,7,4,header,latin+latin-ext+vietnamese
Dangrek:normal:400,3,1,1,?,khmer
Dawning of a New Day:normal:400,1,5,4,header,latin
Days One:normal:400,5,1,4,header,latin
Dekko:normal:400,3,1,3,body,devanagari+latin+latin-ext
Delius Swash Caps:normal:400,3,1,3,header,latin
Delius Unicase:normal:400,4,1,3,header,latin
Delius Unicase:normal:700,5,1,3,header,latin
Delius:normal:400,3,1,3,body,latin
Della Respira:normal:400,3,1,4,body,latin
Denk One:normal:400,5,1,3,header,latin+latin-ext
Devonshire:normal:400,3,3,2,header,latin+latin-ext
Dhurjati:normal:400,5,1,4,body,latin+telugu
Didact Gothic:normal:400,3,1,3,header,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext
Diplomata SC:normal:400,4,1,8,header,latin+latin-ext
Diplomata:normal:400,3,1,7,header,latin+latin-ext
Do Hyeon:normal:400,5,1,3,?,korean+latin
Dokdo:normal:400,3,1,5,?,korean+latin
Domine:normal:400,3,1,3,body,latin+latin-ext
Domine:normal:700,4,1,4,header,latin+latin-ext
Donegal One:normal:400,3,1,4,body,latin+latin-ext
Doppio One:normal:400,4,1,4,header,latin+latin-ext
Dorsa:normal:400,3,1,1,header,latin
Dosis:normal:200,2,1,3,header,latin+latin-ext
Dosis:normal:300,2,1,3,header,latin+latin-ext
Dosis:normal:400,3,1,3,header,latin+latin-ext
Dosis:normal:500,3,1,3,body,latin+latin-ext
Dosis:normal:600,4,1,3,body,latin+latin-ext
Dosis:normal:700,4,1,3,header,latin+latin-ext
Dosis:normal:800,5,1,3,header,latin+latin-ext
Dr Sugiyama:normal:400,3,1,4,header,latin+latin-ext
Duru Sans:normal:400,3,1,3,body,latin+latin-ext
Dynalight:normal:400,2,7,4,header,latin+latin-ext
EB Garamond:italic:400,2,7,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:italic:500,3,7,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:italic:600,3,6,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:italic:700,3,6,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:italic:800,4,6,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:normal:400,2,1,4,body,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:normal:500,3,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:normal:600,3,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:normal:700,3,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
EB Garamond:normal:800,4,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Eagle Lake:normal:400,2,1,3,header,latin+latin-ext
East Sea Dokdo:normal:400,3,4,3,?,korean+latin
Eater:normal:400,4,1,2,header,latin+latin-ext
Economica:italic:400,3,4,2,header,latin+latin-ext
Economica:italic:700,4,4,2,header,latin+latin-ext
Economica:normal:400,3,1,2,header,latin+latin-ext
Economica:normal:700,4,1,2,header,latin+latin-ext
Eczar:normal:400,3,1,4,header,devanagari+latin+latin-ext
Eczar:normal:500,3,1,4,header,devanagari+latin+latin-ext
Eczar:normal:600,4,1,4,header,devanagari+latin+latin-ext
Eczar:normal:700,4,1,4,header,devanagari+latin+latin-ext
Eczar:normal:800,5,1,4,header,devanagari+latin+latin-ext
El Messiri:normal:400,3,1,3,?,arabic+cyrillic+latin
El Messiri:normal:500,3,1,3,?,arabic+cyrillic+latin
El Messiri:normal:600,3,1,4,?,arabic+cyrillic+latin
El Messiri:normal:700,4,1,4,?,arabic+cyrillic+latin
Electrolize:normal:400,3,1,4,body,latin
Elsie Swash Caps:normal:400,2,1,3,body,latin+latin-ext
Elsie Swash Caps:normal:900,4,1,4,header,latin+latin-ext
Elsie:normal:400,3,1,3,header,latin+latin-ext
Elsie:normal:900,4,1,4,header,latin+latin-ext
Emblema One:normal:400,5,3,5,header,latin+latin-ext
Emilys Candy:normal:400,3,1,3,body,latin+latin-ext
Encode Sans Condensed:normal:100,2,1,2,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:200,2,1,2,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:300,2,1,2,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:400,3,1,3,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:500,3,1,3,body,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:600,4,1,3,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:700,5,1,3,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:800,5,1,3,header,latin+latin-ext+vietnamese
Encode Sans Condensed:normal:900,6,1,3,header,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:100,1,1,3,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:200,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:300,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:400,3,1,3,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:500,3,1,4,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:600,4,1,4,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:700,4,1,4,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:800,5,1,4,?,latin+latin-ext+vietnamese
Encode Sans Expanded:normal:900,5,1,4,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:100,1,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:200,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:300,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:400,3,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:500,3,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:600,4,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:700,5,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:800,5,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Condensed:normal:900,6,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:100,1,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:200,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:300,2,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:400,3,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:500,3,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:600,4,1,3,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:700,4,1,4,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:800,5,1,4,?,latin+latin-ext+vietnamese
Encode Sans Semi Expanded:normal:900,5,1,4,?,latin+latin-ext+vietnamese
Encode Sans:normal:100,1,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:200,2,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:300,2,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:400,3,1,3,body,latin+latin-ext+vietnamese
Encode Sans:normal:500,3,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:600,4,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:700,5,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:800,5,1,3,header,latin+latin-ext+vietnamese
Encode Sans:normal:900,5,1,4,header,latin+latin-ext+vietnamese
Engagement:normal:400,3,2,4,header,latin
Englebert:normal:400,3,1,2,body,latin+latin-ext
Enriqueta:normal:400,3,1,4,body,latin+latin-ext
Enriqueta:normal:700,4,1,4,header,latin+latin-ext
Erica One:normal:400,8,1,3,header,latin+latin-ext
Esteban:normal:400,3,1,4,body,latin+latin-ext
Euphoria Script:normal:400,2,4,3,header,latin+latin-ext
Ewert:normal:400,5,3,3,header,latin+latin-ext
Exo 2:italic:100,1,4,3,header,cyrillic+latin+latin-ext
Exo 2:italic:200,2,4,3,header,cyrillic+latin+latin-ext
Exo 2:italic:300,2,4,3,header,cyrillic+latin+latin-ext
Exo 2:italic:400,3,4,4,header,cyrillic+latin+latin-ext
Exo 2:italic:500,3,4,4,header,cyrillic+latin+latin-ext
Exo 2:italic:600,4,4,4,header,cyrillic+latin+latin-ext
Exo 2:italic:700,4,4,4,header,cyrillic+latin+latin-ext
Exo 2:italic:800,5,4,4,header,cyrillic+latin+latin-ext
Exo 2:italic:900,5,4,4,header,cyrillic+latin+latin-ext
Exo 2:normal:100,1,1,3,header,cyrillic+latin+latin-ext
Exo 2:normal:200,2,1,3,header,cyrillic+latin+latin-ext
Exo 2:normal:300,2,1,3,header,cyrillic+latin+latin-ext
Exo 2:normal:400,3,1,3,header,cyrillic+latin+latin-ext
Exo 2:normal:500,4,1,4,header,cyrillic+latin+latin-ext
Exo 2:normal:600,4,1,4,header,cyrillic+latin+latin-ext
Exo 2:normal:700,4,1,4,header,cyrillic+latin+latin-ext
Exo 2:normal:800,5,1,4,header,cyrillic+latin+latin-ext
Exo 2:normal:900,5,1,4,header,cyrillic+latin+latin-ext
Exo:italic:100,1,4,3,header,latin+latin-ext+vietnamese
Exo:italic:200,2,4,3,header,latin+latin-ext+vietnamese
Exo:italic:300,2,4,3,header,latin+latin-ext+vietnamese
Exo:italic:400,3,4,3,header,latin+latin-ext+vietnamese
Exo:italic:500,3,4,3,header,latin+latin-ext+vietnamese
Exo:italic:600,4,4,3,header,latin+latin-ext+vietnamese
Exo:italic:700,5,4,3,header,latin+latin-ext+vietnamese
Exo:italic:800,5,4,3,header,latin+latin-ext+vietnamese
Exo:italic:900,6,4,3,header,latin+latin-ext+vietnamese
Exo:normal:100,1,1,3,header,latin+latin-ext+vietnamese
Exo:normal:200,2,1,3,header,latin+latin-ext+vietnamese
Exo:normal:300,2,1,3,header,latin+latin-ext+vietnamese
Exo:normal:400,3,1,3,header,latin+latin-ext+vietnamese
Exo:normal:500,3,1,3,header,latin+latin-ext+vietnamese
Exo:normal:600,4,1,3,header,latin+latin-ext+vietnamese
Exo:normal:700,5,1,3,header,latin+latin-ext+vietnamese
Exo:normal:800,5,1,3,header,latin+latin-ext+vietnamese
Exo:normal:900,6,1,3,header,latin+latin-ext+vietnamese
Expletus Sans:italic:400,3,3,3,header,latin
Expletus Sans:italic:500,3,3,3,header,latin
Expletus Sans:italic:600,3,3,4,header,latin
Expletus Sans:italic:700,4,3,4,header,latin
Expletus Sans:normal:400,3,1,3,header,latin
Expletus Sans:normal:500,3,1,3,body,latin
Expletus Sans:normal:600,4,1,4,header,latin
Expletus Sans:normal:700,4,1,4,header,latin
Fanwood Text:italic:400,2,4,4,header,latin
Fanwood Text:normal:400,2,1,4,body,latin
Farsan:normal:400,3,3,3,body,gujarati+latin+latin-ext+vietnamese
Fascinate Inline:normal:400,5,1,4,header,latin
Fascinate:normal:400,5,1,4,header,latin
Faster One:normal:400,6,4,5,header,latin
Fasthand:normal:400,2,6,1,?,khmer
Fauna One:normal:400,3,1,3,body,latin+latin-ext
Faustina:italic:400,3,4,3,?,latin+latin-ext+vietnamese
Faustina:italic:500,3,4,3,?,latin+latin-ext+vietnamese
Faustina:italic:600,4,4,3,?,latin+latin-ext+vietnamese
Faustina:italic:700,4,4,3,?,latin+latin-ext+vietnamese
Faustina:normal:400,3,1,3,?,latin+latin-ext+vietnamese
Faustina:normal:500,4,1,3,?,latin+latin-ext+vietnamese
Faustina:normal:600,4,1,3,?,latin+latin-ext+vietnamese
Faustina:normal:700,4,1,4,?,latin+latin-ext+vietnamese
Federant:normal:400,4,1,3,header,latin
Federo:normal:400,3,1,4,header,latin
Felipa:normal:400,2,4,3,header,latin+latin-ext
Fenix:normal:400,3,1,4,body,latin+latin-ext
Finger Paint:normal:400,3,1,3,header,latin
Fira Mono:normal:400,3,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext
Fira Mono:normal:500,3,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext
Fira Mono:normal:700,4,1,4,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext
Fira Sans Condensed:italic:100,1,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:200,2,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:300,2,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:400,3,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:500,4,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:600,4,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:700,5,3,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:800,5,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:italic:900,5,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:100,1,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:200,2,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:300,2,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:400,3,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:500,4,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:600,4,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:700,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:800,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Condensed:normal:900,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:100,1,4,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:200,2,4,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:300,2,4,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:400,3,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:500,4,3,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:600,5,4,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:700,5,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:800,5,4,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:italic:900,6,3,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:100,1,1,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:200,2,1,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:300,2,1,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:400,3,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:500,4,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:600,5,1,2,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:700,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:800,5,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
Fira Sans Extra Condensed:normal:900,6,1,3,?,cyrillic+cyrillic-ext+greek+greek-ext+latin+latin-ext+vietnamese
